epoch,loss,reg_prop_pred_loss,val_loss,val_reg_prop_pred_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,1.0958857436646985,0.8638496398925781,5.179144165303447,0.4411126971244812,0.6051850318908691,6.363650321960449,3.701717332660337e-07,1.0842338800430298,0.6589075326919556,1.1538950204849243,3.701716480009054e-07,1.1946210861206055
1,0.6666559204541155,0.42447856068611145,4.305020931923743,0.2954004108905792,0.6707155704498291,5.307425022125244,6.168549475660257e-07,1.0212349891662598,0.7838059067726135,0.7272006273269653,6.168518211779883e-07,1.1442824602127075
2,0.51866923746365,0.3292143940925598,3.9435043594624735,0.25615209341049194,0.6981440186500549,4.865342140197754,1.0279255775458296e-06,0.9275498986244202,0.8241188526153564,0.5660318732261658,1.0279348998665228e-06,1.0530593395233154
3,0.4389326987486861,0.2943570613861084,3.7070927643539884,0.23472291231155396,0.7161465883255005,4.575183391571045,1.7129347043010057e-06,0.848331868648529,0.8448205590248108,0.4750750958919525,1.7129349316746811e-06,0.9589783549308777
4,0.38482891493635735,0.27835556864738464,3.4646764368113905,0.22610805928707123,0.7348124384880066,4.274317264556885,2.85442843050987e-06,0.7657936215400696,0.8623281121253967,0.41144511103630066,2.854433660104405e-06,0.8594229221343994
5,0.3425458723103384,0.26877233386039734,3.3478626260663025,0.21934963762760162,0.7437673807144165,4.129988193511963,4.756613179779379e-06,0.6795221567153931,0.8785086870193481,0.3609854280948639,4.756572252517799e-06,0.7711300253868103
6,0.3111273314234185,0.2623383402824402,3.0581887004399064,0.21173299849033356,0.7661141157150269,3.7697978019714355,7.926384569145739e-06,0.6100636720657349,0.8911879658699036,0.3233191967010498,7.926456419227179e-06,0.6928758025169373
7,0.28499679229702757,0.256366103887558,2.8921998302535257,0.2085619866847992,0.7789372205734253,3.563101291656494,1.3208474229031708e-05,0.5580666065216064,0.9015825986862183,0.2921462953090668,1.3208318705437705e-05,0.6221745610237122
8,0.26148993557173555,0.25171589851379395,2.822418276626285,0.2065299153327942,0.7843174338340759,3.47637939453125,2.2010404791217297e-05,0.501491904258728,0.9113268256187439,0.2639209032058716,2.2010330212651752e-05,0.5618818402290344
9,0.24569128148823288,0.24837550520896912,2.6291335360838635,0.20232178270816803,0.7992426156997681,3.235820770263672,3.667757482617162e-05,0.4591313600540161,0.9175189137458801,0.24500161409378052,3.667749115265906e-05,0.5115078687667847
10,0.2272940796889094,0.24508658051490784,2.423925194409814,0.2016431987285614,0.8151476979255676,2.9794695377349854,6.111803668318316e-05,0.4189116954803467,0.9251806735992432,0.22281722724437714,6.111737457104027e-05,0.4699568748474121
11,0.21871379147333936,0.2435782104730606,2.3365183513943513,0.19993053376674652,0.8219003677368164,2.8706257343292236,0.00010184289567405358,0.3936415910720825,0.9282212257385254,0.21245352923870087,0.0001018421389744617,0.4340707063674927
12,0.20625121443971942,0.24149419367313385,2.1603819474135295,0.1969199776649475,0.8355151414871216,2.6511850357055664,0.00016969932767096907,0.36751583218574524,0.9332433342933655,0.1973721832036972,0.00016969925491139293,0.4025229811668396
13,0.1963059836947354,0.2395595759153366,2.0864723790990243,0.19561181962490082,0.8412286043167114,2.5590903759002686,0.0002827550924848765,0.3424415588378906,0.937107264995575,0.18538637459278107,0.0002827528805937618,0.37559056282043457
14,0.1893590009219051,0.23830601572990417,2.055339791987202,0.1948457658290863,0.8436347842216492,2.5203118324279785,0.00047109375009313226,0.32155847549438477,0.9396907091140747,0.17695669829845428,0.00047109194565564394,0.35168570280075073
15,0.18106216356174648,0.2365976870059967,1.9128302536388435,0.19311164319515228,0.8546649813652039,2.3425211906433105,0.0007847846136428416,0.3044361174106598,0.9429918527603149,0.1669187694787979,0.0007847935194149613,0.3309018313884735
16,0.17691026703424842,0.23476265370845795,1.879180359368277,0.19250942766666412,0.8572732210159302,2.3004744052886963,0.0013070834102109075,0.28570666909217834,0.9443402290344238,0.1620420664548874,0.0013070825953036547,0.3099258840084076
17,0.17106451176115126,0.2331155240535736,1.7808254142799,0.1917395144701004,0.8649020195007324,2.177525281906128,0.0021762249525636435,0.26270791888237,0.946721076965332,0.15491783618927002,0.002176195615902543,0.2912927567958832
18,0.16666289482048505,0.23300208151340485,1.7258816886656354,0.1917155236005783,0.8691813349723816,2.1085450649261475,0.0036212108097970486,0.2424992024898529,0.9485957026481628,0.1491074115037918,0.0036211726255714893,0.2680383622646332
19,0.16225307181526724,0.23156452178955078,1.6770861231454528,0.18818961083889008,0.8729386925697327,2.0479912757873535,0.00601985352113843,0.2191627025604248,0.9504693150520325,0.14346064627170563,0.006019897758960724,0.24330241978168488
20,0.1579387393688867,0.2305191159248352,1.6715977829281647,0.1882835477590561,0.8733989596366882,2.0405588150024414,0.009991406463086605,0.18692710995674133,0.9523155689239502,0.13766135275363922,0.009991331025958061,0.21341794729232788
