epoch,loss,val_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,1.0835798971574475,6.662838785141861,0.5866226553916931,6.662839412689209,3.7017170484432427e-07,1.039796233177185,0.6728963851928711,1.083580493927002,3.70178554476297e-07,1.1765530109405518
1,0.647438109609724,5.909289908532652,0.6333752870559692,5.909289836883545,6.168552886265388e-07,0.8759666085243225,0.7978658080101013,0.6474378108978271,6.168447725940496e-07,1.0269129276275635
2,0.47711209640345914,5.334962946145645,0.6690081357955933,5.3349609375,1.027928306029935e-06,0.6951199769973755,0.8436951041221619,0.4771113693714142,1.0279408115820843e-06,0.8350071310997009
3,0.3800315500717505,4.788365566668733,0.7029196619987488,4.788365364074707,1.7129349316746811e-06,0.5526605844497681,0.8724578619003296,0.38003048300743103,1.7129349316746811e-06,0.6593009829521179
4,0.31270729057848073,4.279903275978998,0.7344658374786377,4.279901027679443,2.85442592939944e-06,0.44027742743492126,0.8939961194992065,0.31270599365234375,2.85446685666102e-06,0.5260946750640869
5,0.25982632855161086,3.7500211241331742,0.7673406600952148,3.750020980834961,4.756613179779379e-06,0.35632479190826416,0.9118514657020569,0.2598242163658142,4.756623184221098e-06,0.42359137535095215
6,0.2242895226768508,3.1919466732697166,0.8019648194313049,3.191943883895874,7.926378202682827e-06,0.309324711561203,0.9238353967666626,0.2242867648601532,7.926470061647706e-06,0.3607509136199951
7,0.19081345524214927,2.905019546419845,0.8197668194770813,2.9050159454345703,1.3208477867010515e-05,0.26922670006752014,0.9352726936340332,0.19080938398838043,1.3208175914769527e-05,0.3063513934612274
8,0.1665352366171704,2.4970232933914107,0.845079779624939,2.4970178604125977,2.20104066102067e-05,0.22926348447799683,0.9433429837226868,0.16652970016002655,2.2010253815096803e-05,0.26144134998321533
9,0.14566974694814247,2.3417851579004,0.8547109365463257,2.3417773246765137,3.667747296276502e-05,0.20773369073867798,0.9505425095558167,0.14566130936145782,3.667830605991185e-05,0.22880978882312775
10,0.13482771870684995,1.8715394834162657,0.8838868141174316,1.8715283870697021,6.111803668318316e-05,0.19310112297534943,0.9542677402496338,0.13481508195400238,6.111725087976083e-05,0.20857714116573334
11,0.11445590188260853,1.5761793197127822,0.9022115468978882,1.57616126537323,0.00010184272105107084,0.17137402296066284,0.961187481880188,0.11443601548671722,0.00010184423445025459,0.19556695222854614
12,0.1040191982804455,1.533586784347969,0.904854416847229,1.5335595607757568,0.00016969957505352795,0.15959826111793518,0.9647794961929321,0.10398951172828674,0.00016969697026070207,0.1745903640985489
13,0.0940496879530256,1.3391767616716692,0.916917085647583,1.3391358852386475,0.0002827543066814542,0.14356742799282074,0.9682005047798157,0.09400389343500137,0.0002827583812177181,0.16203440725803375
14,0.08553573244279826,1.1798806922423408,0.9268015623092651,1.1798193454742432,0.0004710933135356754,0.13055914640426636,0.9711483120918274,0.08546693623065948,0.000471100298454985,0.14603441953659058
15,0.08189629805976431,1.1033998502350841,0.931549072265625,1.1032969951629639,0.0007847846136428416,0.1312045305967331,0.9724478125572205,0.08178667724132538,0.00078478769864887,0.13972176611423492
16,0.07337513835890867,0.9569131435507937,0.9406406879425049,0.9567573070526123,0.0013070841087028384,0.11921177804470062,0.9753888249397278,0.07320456206798553,0.0013070912100374699,0.13054905831813812
17,0.06793068615361351,0.8247055272364245,0.9488473534584045,0.8244708180427551,0.0021762249525636435,0.1077757254242897,0.9772881269454956,0.0676664412021637,0.002176237292587757,0.12142045050859451
18,0.06211385281099053,0.798713335410301,0.9504675269126892,0.7983632683753967,0.003621215233579278,0.09671860188245773,0.9792893528938293,0.06172620505094528,0.0036211388651281595,0.10706177353858948
19,0.059453770242833735,0.7861540678869258,0.9512579441070557,0.7856280207633972,0.006019843276590109,0.08744122087955475,0.980306088924408,0.05887552350759506,0.0060198684222996235,0.09605539590120316
20,0.05583817476717672,0.8366671735758608,0.9481433629989624,0.8358288407325745,0.009991406463086605,0.08393578976392746,0.9816623330116272,0.054983627051115036,0.009991409257054329,0.08552424609661102
21,0.05230473168301899,0.7153947949409485,0.9556859135627747,0.7142617106437683,0.0165395587682724,0.06848988682031631,0.9830137491226196,0.05102283135056496,0.01653915084898472,0.07750129699707031
22,0.05198601296506198,0.6373270495259082,0.9605596661567688,0.6356974840164185,0.02726096287369728,0.059776365756988525,0.9833020567893982,0.05014892295002937,0.02726081572473049,0.06739000976085663
